mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_AASHTIKAR_PATIL_NAGESH_BAPURAO,Lok Sabha,AASHTIKAR PATIL NAGESH BAPURAO,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,
LS_ABDUL_RASHID_SHEIKH,Lok Sabha,ABDUL RASHID SHEIKH,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,
LS_ABHAY_KUMAR_SINHA,Lok Sabha,ABHAY KUMAR SINHA,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,
LS_ABHIJIT_GANGOPADHYAY,Lok Sabha,ABHIJIT GANGOPADHYAY,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,
LS_ABU_TAHER_KHAN,Lok Sabha,Abu Taher Khan,ABU TAHER KHAN,West Bengal,MURSHIDABAD,
LS_ADHIKARI_SOUMENDU,Lok Sabha,ADHIKARI SOUMENDU,ADHIKARI SOUMENDU,West Bengal,KANTHI,
LS_ADITYA_YADAV,Lok Sabha,ADITYA YADAV,ADITYA YADAV,Uttar Pradesh,BADAUN,
LS_ADOOR_PRAKASH,Lok Sabha,Adv Adoor Prakash,ADOOR PRAKASH,Kerala,ATTINGAL,
LS_DEAN_KURIAKOSE,Lok Sabha,Adv Dean Kuriakose,DEAN KURIAKOSE,Kerala,IDUKKI,
LS_GOWAAL_KAGADA_PADAVI,Lok Sabha,ADV GOWAAL KAGADA PADAVI,GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),
LS_K_FRANCIS_GEORGE,Lok Sabha,ADV K FRANCIS GEORGE,K FRANCIS GEORGE,Kerala,KOTTAYAM,
LS_AFZAL_ANSARI,Lok Sabha,AFZAL ANSARI,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,
LS_AGA_SYED_RUHULLAH_MEHDI,Lok Sabha,AGA SYED RUHULLAH MEHDI,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,
LS_AJAY_BHATT,Lok Sabha,Ajay Bhatt,AJAY BHATT,Uttarakhand,NAINITAL UDHAM SINGH NAG.,
LS_AJAY_KUMAR_MANDAL,Lok Sabha,Ajay Kumar Mandal,AJAY KUMAR MANDAL,Bihar,BHAGALPUR,
LS_AJAY_TAMTA,Lok Sabha,Ajay Tamta,AJAY TAMTA,Uttarakhand,ALMORA(SC),
LS_AJENDRA_SINGH_LODHI,Lok Sabha,AJENDRA SINGH LODHI,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,
LS_AKHILESH_YADAV,Lok Sabha,AKHILESH YADAV,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,
LS_AKSHAYA_YADAV,Lok Sabha,AKSHAYA YADAV,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,
LS_ALFRED_KANNGAM_S_ARTHUR,Lok Sabha,ALFRED KANNGAM S ARTHUR,ALFRED KANNGAM S ARTHUR,Manipur,OUTER MANIPUR(ST),
LS_ALOK_KUMAR_SUMAN,Lok Sabha,Alok Kumar Suman,ALOK KUMAR SUMAN,Bihar,GOPALGANJ (SC),
LS_ALOK_SHARMA,Lok Sabha,ALOK SHARMA,ALOK SHARMA,Madhya Pradesh,BHOPAL,
LS_AMAR_SHARADRAO_KALE,Lok Sabha,AMAR SHARADRAO KALE,AMAR SHARADRAO KALE,Maharashtra,WARDHA,
LS_AMARSING_TISSO,Lok Sabha,AMARSING TISSO,AMARSING TISSO,Assam,Diphu (ST),
LS_AMBICA_G_LAKSHMINARAYANA_VALMIKI,Lok Sabha,AMBICA G LAKSHMINARAYANA VALMIKI,AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,ANANTAPUR,
LS_AMOL_RAMSING_KOLHE,Lok Sabha,Amol Ramsing Kolhe,AMOL RAMSING KOLHE,Maharashtra,SHIRUR,
LS_AMRARAM,Lok Sabha,AMRARAM,AMRARAM,Rajasthan,SIKAR,
LS_AMRINDER_SINGH_RAJA_WARRING,Lok Sabha,AMRINDER SINGH RAJA WARRING,AMRINDER SINGH RAJA WARRING,Punjab,LUDHIANA,
LS_ANAND_BHADAURIYA,Lok Sabha,ANAND BHADAURIYA,ANAND BHADAURIYA,Uttar Pradesh,DHAURAHRA,
LS_ANAND_KUMAR,Lok Sabha,ANAND KUMAR,ANAND KUMAR,Uttar Pradesh,BAHRAICH(SC),
LS_ANANTA_NAYAK,Lok Sabha,ANANTA NAYAK,ANANTA NAYAK,Odisha,KEONJHAR(ST),
LS_ANDIMUTHU_RAJA,Lok Sabha,Andimuthu Raja,ANDIMUTHU RAJA,Tamil Nadu,NILGIRIS(SC),
LS_ANDREW_J_SYNGKON,Lok Sabha,ANDREW J. SYNGKON,ANDREW J. SYNGKON,Meghalaya,SHILLONG,
LS_ANGOMCHA_BIMOL_AKOIJAM,Lok Sabha,ANGOMCHA BIMOL AKOIJAM,ANGOMCHA BIMOL AKOIJAM,Manipur,INNER MANIPUR,
LS_ANIL_BALUNI,Lok Sabha,ANIL BALUNI,ANIL BALUNI,Uttarakhand,GARHWAL,
LS_ANIL_YESHWANT_DESAI,Lok Sabha,ANIL YESHWANT DESAI,ANIL YESHWANT DESAI,Maharashtra,MUMBAI SOUTH CENTRAL,
