work_id,anomaly_score,payment_anomaly_score,payment_anomaly_flag,payment_count,execution_anomaly_score,execution_anomaly_flag,consistency_review_flag,payment_exceeds_sanction_flag,execution_anomaly_reason,payment_data_available,financial_risk_0_100,payment_risk_0_100,execution_risk_0_100,combined_base_risk,final_risk_score,risk_level,investigation_priority
WS/MP18435/2026-2027/255473,0.8139081407463212,0.6252519295382146,1,3,0,0,0,0,No execution anomaly or consistency issue detected,1,100.0,99.59839357429718,0,99.79919678714859,99.79919678714859,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP507/2026-2027/290535,0.8034585179719491,0.759301308465634,1,8,0,0,0,0,No execution anomaly or consistency issue detected,1,99.99500399680255,100.0,0,99.99750199840128,99.99750199840128,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP188/2026-2027/179557,0.8026597395496441,0.6085986386991975,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.99000799360512,99.3975903614458,0,99.69379917752545,99.69379917752545,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP888/2026-2027/251789,0.7988894249101928,0.6042840418305209,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.98501199040767,99.36890418818129,0,99.67695808929449,99.67695808929449,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18368/2026-2027/296403,0.7916405767003468,0.6750593698324795,1,4,0,0,0,0,No execution anomaly or consistency issue detected,1,99.98001598721024,99.88525530694206,0,99.93263564707615,99.93263564707615,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP492/2026-2027/294027,0.790829640754586,0.6390749896753204,1,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.97501998401279,99.71313826735513,0,99.84407912568396,99.84407912568396,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP092/2026-2027/305015,0.7888547243072135,0.5388361762251314,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.96502797761791,97.26047045324154,0,98.61274921542972,98.61274921542972,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP092/2026-2027/305016,0.7888547243072135,0.5557521325402192,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.96502797761791,98.25014343086632,0,99.10758570424211,99.10758570424211,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18421/2026-2027/290263,0.7888547243072135,0.57100864310014,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.96502797761791,98.7091222030981,0,99.33707509035801,99.33707509035801,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18382/2026-2027/220474,0.788540804358558,0.5281310011431929,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.95503597122301,96.52897303499714,0,98.24200450311008,98.24200450311008,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP249/2026-2027/282367,0.7852310502935689,0.6221207166671014,1,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.95003996802558,99.48364888123923,0,99.7168444246324,99.7168444246324,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP249/2026-2027/282366,0.7797238676668024,0.6129508840786211,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.94504396482814,99.4406196213425,0,99.69283179308533,99.69283179308533,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18210/2026-2027/295272,0.77768286875602,0.636305034180117,1,3,0,0,0,0,No execution anomaly or consistency issue detected,1,99.9400479616307,99.69879518072288,0,99.81942157117679,99.81942157117679,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18370/2026-2027/282656,0.7757636038483893,0.5387133378568719,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.93505195843325,97.23178427997705,0,98.58341811920515,98.58341811920515,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18391/2026-2027/283805,0.773615268610073,0.5073626526377538,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.93005595523582,93.44520940906483,0,96.68763268215032,96.68763268215032,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP163/2026-2027/70361,0.7718445762531372,0.6610227992644503,1,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.92505995203837,99.82788296041308,0,99.87647145622572,99.87647145622572,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP134/2026-2027/211659,0.7661382670916849,0.5860705060377497,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.92006394884093,99.19678714859438,0,99.55842554871765,99.55842554871765,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18207/2026-2027/274517,0.7625111223762054,0.5687396360638516,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.91506794564349,98.68043602983361,0,99.29775198773855,99.29775198773855,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP492/2026-2027/282269,0.7613757319557894,0.731170295059866,1,7,0,0,0,0,No execution anomaly or consistency issue detected,1,99.91007194244604,99.94262765347102,0,99.92634979795852,99.92634979795852,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18254/2026-2027/208657,0.7602270893807151,0.5341675548739525,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.9050759392486,96.95926563396443,0,98.43217078660652,98.43217078660652,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP203/2026-2027/284964,0.7597035698131672,0.7352388538158152,1,7,0,0,0,0,No execution anomaly or consistency issue detected,1,99.90007993605116,99.97131382673551,0,99.93569688139334,99.93569688139334,VERY_HIGH,VERY_HIGH_REVIEW
