house,work_id,mp_key,completion_date,amount_disbursed,image_indicator
Lok Sabha,WS/MP418/2024-2025/133409,LS_PRADEEP_KUMAR_SINGH,2024-09-05,448127.0,0
Lok Sabha,WS/MP18152/2024-2025/133691,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP345/2024-2025/134140,LS_NK_PREMACHANDRAN,2024-08-12,293492.0,0
Lok Sabha,WS/MP18152/2024-2025/133686,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP18152/2024-2025/133690,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP18152/2024-2025/133689,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP345/2024-2025/134143,LS_NK_PREMACHANDRAN,2024-10-28,1182588.0,1
Lok Sabha,WS/MP345/2024-2025/134144,LS_NK_PREMACHANDRAN,2024-08-17,338444.0,0
Lok Sabha,WS/MP18152/2024-2025/133694,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP18152/2024-2025/133696,LS_SARABJEET_SINGH_KHALSA,2025-04-07,84500.0,0
Lok Sabha,WS/MP18152/2024-2025/133701,LS_SARABJEET_SINGH_KHALSA,2025-04-07,84500.0,0
Lok Sabha,WS/MP18152/2024-2025/133693,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP18152/2024-2025/133703,LS_SARABJEET_SINGH_KHALSA,2025-04-07,84500.0,0
Lok Sabha,WS/MP18152/2024-2025/133688,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP18152/2024-2025/133687,LS_SARABJEET_SINGH_KHALSA,2025-04-07,300000.0,0
Lok Sabha,WS/MP345/2024-2025/134123,LS_NK_PREMACHANDRAN,2024-12-06,4740188.0,1
