house,mp_key,allocated_amount,state,constituency,elected_nominated
Lok Sabha,LS_AASHTIKAR_PATIL_NAGESH_BAPURAO,190289442.0,Maharashtra,HINGOLI,
Lok Sabha,LS_ABDUL_RASHID_SHEIKH,154773472.11,Jammu And Kashmir,BARAMULLAH,
Lok Sabha,LS_ABHAY_KUMAR_SINHA,147000000.0,Bihar,AURANGABAD_BR,
Lok Sabha,LS_ABHIJIT_GANGOPADHYAY,147000000.0,West Bengal,TAMLUK,
Lok Sabha,LS_ABU_TAHER_KHAN,147000000.0,West Bengal,MURSHIDABAD,
Lok Sabha,LS_ADHIKARI_SOUMENDU,147000000.0,West Bengal,KANTHI,
Lok Sabha,LS_ADITYA_YADAV,147000000.0,Uttar Pradesh,BADAUN,
Lok Sabha,LS_ADOOR_PRAKASH,147000000.0,Kerala,ATTINGAL,
Lok Sabha,LS_DEAN_KURIAKOSE,147000000.0,Kerala,IDUKKI,
Lok Sabha,LS_GOWAAL_KAGADA_PADAVI,147816309.11,Maharashtra,NANDURBAR(ST),
Lok Sabha,LS_K_FRANCIS_GEORGE,188722256.11,Kerala,KOTTAYAM,
Lok Sabha,LS_AFZAL_ANSARI,220500000.0,Uttar Pradesh,GHAZIPUR,
Lok Sabha,LS_AGA_SYED_RUHULLAH_MEHDI,147000000.0,Jammu And Kashmir,SRINAGAR,
Lok Sabha,LS_AJAY_BHATT,147000000.0,Uttarakhand,NAINITAL UDHAM SINGH NAG.,
Lok Sabha,LS_AJAY_KUMAR_MANDAL,147000000.0,Bihar,BHAGALPUR,
Lok Sabha,LS_AJAY_TAMTA,147000000.0,Uttarakhand,ALMORA(SC),
Lok Sabha,LS_AJENDRA_SINGH_LODHI,147000000.0,Uttar Pradesh,HAMIRPUR_UP,
Lok Sabha,LS_AKHILESH_YADAV,147000000.0,Uttar Pradesh,KANNAUJ,
Lok Sabha,LS_AKSHAYA_YADAV,147000000.0,Uttar Pradesh,FIROZABAD,
Lok Sabha,LS_ALFRED_KANNGAM_S_ARTHUR,147000000.0,Manipur,OUTER MANIPUR(ST),
Lok Sabha,LS_ALOK_KUMAR_SUMAN,147000000.0,Bihar,GOPALGANJ (SC),
Lok Sabha,LS_ALOK_SHARMA,147000000.0,Madhya Pradesh,BHOPAL,
Lok Sabha,LS_AMAR_SHARADRAO_KALE,147000000.0,Maharashtra,WARDHA,
Lok Sabha,LS_AMARSING_TISSO,147000000.0,Assam,Diphu (ST),
Lok Sabha,LS_AMBICA_G_LAKSHMINARAYANA_VALMIKI,201899064.11,Andhra Pradesh,ANANTAPUR,
Lok Sabha,LS_AMOL_RAMSING_KOLHE,147000000.0,Maharashtra,SHIRUR,
Lok Sabha,LS_AMRARAM,165691544.11,Rajasthan,SIKAR,
Lok Sabha,LS_AMRINDER_SINGH_RAJA_WARRING,147000000.0,Punjab,LUDHIANA,
Lok Sabha,LS_ANAND_BHADAURIYA,147000000.0,Uttar Pradesh,DHAURAHRA,
Lok Sabha,LS_ANAND_KUMAR,147000000.0,Uttar Pradesh,BAHRAICH(SC),
Lok Sabha,LS_ANANTA_NAYAK,147000000.0,Odisha,KEONJHAR(ST),
Lok Sabha,LS_ANDIMUTHU_RAJA,147000000.0,Tamil Nadu,NILGIRIS(SC),
Lok Sabha,LS_ANDREW_J_SYNGKON,98000000.0,Meghalaya,SHILLONG,
Lok Sabha,LS_ANGOMCHA_BIMOL_AKOIJAM,147000000.0,Manipur,INNER MANIPUR,
Lok Sabha,LS_ANIL_BALUNI,147000000.0,Uttarakhand,GARHWAL,
Lok Sabha,LS_ANIL_YESHWANT_DESAI,147000000.0,Maharashtra,MUMBAI SOUTH CENTRAL,
Lok Sabha,LS_ANITA_NAGARSINGH_CHOUHAN,147000000.0,Madhya Pradesh,RATLAM(ST),
Lok Sabha,LS_ANITA_SUBHADARSHINI,147000000.0,Odisha,ASKA,
Lok Sabha,LS_ANNPURNA_DEVI,166665931.8,Jharkhand,KODARMA,
